R_avg,G_avg,B_avg,Color_var,V_var,S_var
13.57571182,12.88565347,9.44504641,16398.37914,17378.9008,0.167691076
14.50776294,13.7275415,9.854544829,15887.3163,17575.06629,0.163010133
17.93514724,13.39801546,11.11508706,11516.88271,15886.39272,0.144676928
25.36780463,9.296753113,12.512311,8308.391487,20828.78638,0.261946195
33.5026096,16.12302887,9.972863273,4608.631884,19932.18477,0.333243519
42.07628575,33.7118207,12.59872597,5906.51778,28092.99846,0.287416562
42.11573309,34.23630692,13.14862504,5999.327435,28396.07622,0.279348199
38.91486017,31.09803341,10.10002784,5474.764297,26804.93163,0.278096184
34.11819813,29.15356086,8.020060763,6568.100549,26061.2707,0.314282494
34.22261955,29.19039999,8.172215062,6503.584586,26251.9371,0.311360884
31.98622955,24.72434043,9.731000946,7440.01971,23103.61728,0.280769908
28.44944092,19.85222532,11.50095674,14797.29237,21353.29715,0.251860372
28.38811386,19.8582791,11.60556568,15050.15731,21274.26341,0.254900989
29.35807474,19.05219536,12.87589976,10433.49596,21636.5944,0.192146338
29.80079416,17.25146029,14.49084085,14532.9045,24022.00189,0.2201833
30.12362488,17.23424938,14.09414276,12478.45722,23475.74779,0.221555746
30.77243157,17.20644906,10.35948854,3985.450616,18381.89182,0.249026392
30.85530274,17.37733077,9.204904943,6684.384266,20574.09106,0.268388492
30.96641742,17.4068501,9.258898586,6915.355516,20548.35046,0.266815103
31.02754875,17.44899149,9.308364593,6978.817341,20570.57441,0.266876475
30.9906562,17.48338086,9.236957354,7020.075976,20320.47444,0.270645013
