R_avg,G_avg,B_avg,Color_var,V_var,S_var
23.15035617,23.5810419,27.9276768,10678.13643,21647.62073,0.098870181
23.18272418,23.60960271,27.98805714,10764.96897,21682.26974,0.099119316
21.42979083,22.15863932,21.36806054,6554.713531,18591.38189,0.216225975
21.49996682,22.4021121,21.3252814,6878.032037,18425.55701,0.220183682
21.60159841,22.51484418,21.4253433,6792.906345,18706.70489,0.21716937
21.52557301,22.50043183,21.38792806,6970.211156,18613.47631,0.218703748
21.61701589,22.54955927,21.4566796,6964.556187,18933.20171,0.217326475
21.59906515,22.51797401,21.42581366,6934.257062,18731.5478,0.218362512
21.63790812,22.55153313,21.46736699,6924.715602,19000.15903,0.217233569
21.64862194,22.53364559,21.46892242,6887.786392,18960.53658,0.216715083
21.64414251,22.55031781,21.47040786,6938.966944,18931.02474,0.216557834
17.5818492,18.09806814,25.16797503,9830.98589,18297.21698,0.209758167
17.54608491,18.06640559,24.97725239,9809.970893,18026.32116,0.214409342
17.69073414,18.14268867,24.93729878,9837.500062,18223.21478,0.211524397
17.58006156,18.1483485,24.96570033,9944.160676,18221.90289,0.214383193
17.51647017,18.24555045,25.29395803,9618.278856,18221.07245,0.212546944
17.62208754,18.31171553,25.25826377,9715.795882,18125.43176,0.21535645
17.76857622,18.34602861,25.19468848,9748.799953,18279.69471,0.213658308
17.75599434,18.47994159,25.41080194,9825.07266,18507.84365,0.215659655
29.87770616,23.66914429,22.62416088,8190.923287,19673.6333,0.070822997
29.81993604,22.84236667,23.75279028,9913.429825,18976.05536,0.094061701
29.81930983,22.84427724,23.79343545,10210.19937,17973.94845,0.108840312
29.86239884,22.89616042,23.90520524,10466.38255,18561.95022,0.105821299
29.81275983,22.95690701,23.86748233,10515.08846,18971.94834,0.101800692
29.76306473,22.89065139,23.55601482,10421.04241,19072.61346,0.101682306
28.87822364,23.52398769,23.65549747,11026.99073,19956.43882,0.094709031
28.31805664,23.32666984,23.72178306,10748.91833,18791.85164,0.099059873
28.56073314,22.9826261,23.35265441,10959.01996,19481.36364,0.092471757
