R_avg,G_avg,B_avg,Color_var,V_var,S_var
24.97029074,33.58743574,32.27612816,9598.620885,17338.83476,0.055216778
25.0613617,33.56456784,32.30941664,9712.796791,17213.27371,0.054684326
24.89342375,33.46397644,32.17716273,9536.346884,17034.35163,0.06131644
21.7659347,26.99916851,25.3192462,8932.050348,14340.07043,0.033323501
15.76211446,16.65947844,14.27157948,17134.64161,15639.22049,0.098405699
14.469172,15.21949646,12.99332604,18208.3775,16664.94511,0.0979336
13.16108378,13.86794145,11.65293896,18165.31291,15996.21935,0.102574294
13.3092669,14.05603334,11.37715749,18739.88142,16056.47253,0.102124046
14.86148542,15.44134758,13.16825028,18538.95163,16815.32918,0.074399642
12.62945793,13.62828214,10.51490786,18085.23389,15721.34237,0.136137566
13.39776884,14.3867993,11.26822354,18717.4138,16695.8868,0.110156397
13.9110509,14.69400288,11.75053897,19172.64657,18406.59869,0.085434093
13.77988474,14.60170951,11.35246456,19118.87854,17295.64959,0.109477525
14.49765585,15.24266457,12.16804862,19019.84196,17999.66086,0.088051406
21.14977458,23.25480667,21.81290178,9159.772471,15211.58639,0.081586611
23.40358422,26.24098477,25.26721815,10940.77957,15326.1886,0.145133597
24.10790565,27.060808,25.81910075,9980.555848,15673.99903,0.142354274
24.09002938,27.0667291,26.02429057,9211.778344,16396.49412,0.124721707
23.95973756,26.98737031,26.10141568,8709.003816,16445.65448,0.124083752
23.55287474,26.61770211,25.90729449,8667.096133,16057.90588,0.125247712
22.88157959,25.93481733,25.86323128,9210.319983,16236.14351,0.121273976
22.89090166,26.03356358,26.11660802,9244.83165,16301.21363,0.121578453
22.87690699,26.07027556,26.38329036,9491.851212,16253.98777,0.118806785
