R_avg,G_avg,B_avg,Color_var,V_var,S_var
12.76257944,11.0135868,14.17467338,7450.508234,10667.01593,0.059368655
13.30575367,13.12175187,28.03624108,4477.940885,15388.55038,0.189764123
12.28154839,17.93441416,35.97510857,6329.676119,21949.04848,0.2555849
13.14764842,19.84803452,35.04150073,5451.48476,21438.4422,0.224918111
17.21287972,18.02964628,28.79131075,5620.20557,17100.16688,0.126715981
22.21442584,18.73921805,24.09951063,6967.653242,12655.92057,0.067218811
24.66364797,22.7802816,24.35413373,8907.143766,20554.99533,0.094054906
24.52525172,26.43563658,27.92343738,10117.89483,23521.76334,0.130159198
22.67517905,28.61050468,30.91476833,8859.143522,25793.82241,0.172676936
20.7494137,29.04773372,32.10255583,8838.233363,25698.30735,0.200002671
20.02232447,29.2049037,32.72118746,9059.494761,25096.23137,0.204869986
19.2308999,28.84199074,32.78951349,9199.445064,23523.05562,0.207552247
19.56318909,29.17522616,33.42917447,9645.722885,22664.34428,0.201950262
