R_avg,G_avg,B_avg,Color_var,V_var,S_var
23.22261566,24.26974362,29.88505053,5400.327213,16849.51115,0.034938238
23.09369631,24.45621375,30.9497949,4466.281727,17298.49238,0.044969478
22.77247478,24.74001961,31.77969314,3546.353275,16320.9537,0.058429108
22.64337743,24.9628315,32.81245633,3222.17742,16743.1634,0.070811185
22.61953239,25.07255417,32.9699278,3310.853979,16058.65355,0.075154871
22.61148872,25.08015403,32.9832117,3356.411852,16370.15132,0.074626568
22.6681144,25.13932541,32.95612859,3307.381606,16493.98582,0.073289232
22.68177632,25.12855897,32.96327556,3318.982327,16664.86536,0.072767353
22.64910917,25.08112946,32.79548946,3421.318472,16419.63279,0.072295835
22.66100769,25.07958489,32.77152763,3398.493721,16111.03316,0.072626153
22.7258634,25.08500006,32.76624289,3441.632155,16302.49977,0.07161697
22.73211895,25.07945591,32.75495536,3428.429738,16173.54647,0.071730226
22.90508782,25.0669898,32.7684869,3469.861535,16189.40019,0.069405538
22.93786628,25.06604984,32.7391107,3450.648805,16134.18282,0.068568753
22.8352257,24.96311017,32.53976742,3467.927496,16065.32971,0.067725364
23.05189709,25.05162944,32.19284508,3621.440527,16049.61219,0.06089435
